Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
22.21,97.74,0,-0.0216,1.5,0.0038,0,0.276,4.39,100,617078,3.8,35.07,5.142,2011
7.21,92.29,0,0.006,3.52,0.1841,0.142,0.365,4.24,101.93,631142,2.06,34.74,5.519,2012
23.88,97.59,0,0.0005,0.92,0.0099,0.7495,2.4523,4.24,101.93,631142,2.06,34.74,5.519,2012
7.65,94.08,0,0.0194,7.63,0.0121,0.2336,0.1407,4.24,101.93,631142,2.06,34.74,5.519,2012
14.87,91.68,0,0.001,2.29,0.0057,0.2048,0.1556,4.24,101.93,631142,2.06,34.74,5.519,2012
11.9,103.18,0,-0.0258,1.91,0.0037,0.9289,0.6267,4.24,101.93,631142,2.06,34.74,5.519,2012
6.47,95.12,0,-0.0047,1.65,0.0028,0.7176,0.5996,4.24,101.93,631142,2.06,34.74,5.519,2012
4.94,98.38,0,0.0005,0.13,0.0208,0.3151,0.5102,4.24,101.93,631142,2.06,34.74,5.519,2012
12.37,139.19,0,-0.0592,-8.31,0.0037,0.2413,0.4422,4.24,101.93,631142,2.06,34.74,5.519,2012
5.11,96.28,0,0.0009,3.37,0.2457,0.1103,0.5597,4.24,101.93,631142,2.06,34.74,5.519,2012
1.51,93.77,0,-0.0016,1.4,0.0178,0.0899,0.2986,4.24,101.93,631142,2.06,34.74,5.519,2012
9.59,92.56,0,0.0031,3.51,0.0041,0.3474,0.2827,4.24,101.93,631142,2.06,34.74,5.519,2012
9.59,98.88,0,-0.013,2.99,0.0099,0.2529,0.4316,4.24,101.93,631142,2.06,34.74,5.519,2012
21.45,85.84,0,0.01,1.12,0.0045,0.4919,0.3723,4.24,101.93,631142,2.06,34.74,5.519,2012
5.75,93.08,0,0.0043,4.31,0.1623,0.0718,0.3209,4.24,101.93,631142,2.06,34.74,5.519,2012
10.17,96.72,0,0.0061,2.59,0.0108,0.2089,0.4768,4.24,101.93,631142,2.06,34.74,5.519,2012
8.45,95.95,0,0.0026,2.83,0.0485,0.1704,0.3477,4.24,101.93,631142,2.06,34.74,5.519,2012
7.81,95.94,0,0.0049,4.09,0.0303,0.1706,0.4004,4.24,101.93,631142,2.06,34.74,5.519,2012
1.01,97.9,0,0.0006,2.8,0.0248,0.1586,0.2494,4.24,101.93,631142,2.06,34.74,5.519,2012
10.94,96.9,0,0.0034,4.22,0.0768,0.2089,0.7552,4.24,101.93,631142,2.06,34.74,5.519,2012
7.57,134.01,0,-0.022,3,0.0038,0.4115,0.663,4.24,101.93,631142,2.06,34.74,5.519,2012
7.4,88.09,0,-0.0194,3.08,0.0026,0.6995,0.4267,4.24,101.93,631142,2.06,34.74,5.519,2012
13.9,94.31,0,-0.0067,3.75,0.005,0.3,0.4466,4.24,101.93,631142,2.06,34.74,5.519,2012
10,96.69,0,0.0167,4.64,0.0161,0.3107,0.6871,4.24,101.93,631142,2.06,34.74,5.519,2012
5.7,92.89,0,0.0057,3.38,0.0548,0.3597,0.4446,4.24,101.93,631142,2.06,34.74,5.519,2012
15.83,98.62,0,-0.0097,-1.96,0.0043,0.4723,0.1924,4.24,101.93,631142,2.06,34.74,5.519,2012
7.6,93.01,0,0.0079,3.57,0.1754,0.0642,0.4093,4.18,102.74,652429,2.2,34.85,5.8393,2013
25.86,97.24,0,-0.0009,0.17,0.0287,0.5505,0.8839,4.18,102.74,652429,2.2,34.85,5.8393,2013
6.88,94.49,0,0.0343,2.9,0.0111,0.056,0.1843,4.18,102.74,652429,2.2,34.85,5.8393,2013
11.95,93.95,0,0.003,2.22,0.0056,0.1063,0.1761,4.18,102.74,652429,2.2,34.85,5.8393,2013
8.17,104.87,0,-0.022,2.66,0.0025,0.2054,0.4983,4.18,102.74,652429,2.2,34.85,5.8393,2013
5.53,96.6,0,-0.0008,0.47,0.0039,0.4218,0.5238,4.18,102.74,652429,2.2,34.85,5.8393,2013
5.21,98.05,0,-0.004,0.13,0.0218,0.117,0.5533,4.18,102.74,652429,2.2,34.85,5.8393,2013
15.47,139.51,0,-0.0483,3.52,0.0037,0.3054,0.4539,4.18,102.74,652429,2.2,34.85,5.8393,2013
3.59,93.53,0.4975,0.0038,3.54,0.2289,0.086,0.5197,4.18,102.74,652429,2.2,34.85,5.8393,2013
1.53,95.04,0,0.0021,1.35,0.0154,0.1488,0.4999,4.18,102.74,652429,2.2,34.85,5.8393,2013
12.01,98.89,0,0.0003,4,0.0088,0.1642,0.5884,4.18,102.74,652429,2.2,34.85,5.8393,2013
19.05,86.95,0,-0.0105,0.91,0.0052,0.2512,0.3158,4.18,102.74,652429,2.2,34.85,5.8393,2013
3.13,94.81,0,0.0067,4.16,0.1609,0.0533,0.3489,4.18,102.74,652429,2.2,34.85,5.8393,2013
7.07,97.73,0,-0.0043,3.54,0.0246,0.1266,0.4578,4.18,102.74,652429,2.2,34.85,5.8393,2013
5,96.95,0,0.0035,3.28,0.0545,0.1496,0.2584,4.18,102.74,652429,2.2,34.85,5.8393,2013
5.56,97.11,0,0.0011,3.45,0.0238,0.148,0.5277,4.18,102.74,652429,2.2,34.85,5.8393,2013
0.93,96.79,0,-0.0008,2.8,0.0201,0.1031,0.7065,4.18,102.74,652429,2.2,34.85,5.8393,2013
6.63,96.4,0,0.0036,4.19,0.0712,0.1761,0.6574,4.18,102.74,652429,2.2,34.85,5.8393,2013
10.6,92.46,0,-0.0109,3.36,0.0025,0.4128,0.2293,4.18,102.74,652429,2.2,34.85,5.8393,2013
14.8,96.05,0,0.0014,1.15,0.0046,0.1596,0.4377,4.18,102.74,652429,2.2,34.85,5.8393,2013
9.9,96.95,0,0.0048,3.52,0.0152,0.1605,0.7151,4.18,102.74,652429,2.2,34.85,5.8393,2013
